Resolution METINGEN
picture,HitRatio( X / 12 )
face 90, 4
face 91, 4
face 92, 2
face 93, 12
face 94, 12
face 95, 2
face 96, 12
face 97, 2
face 98, 12
face 99, 12
face 100, 2
